,proximity_mode,average_degree,mean_shortest_path,median_shortest_path,num_nodes,dim,K_mean,K_median,K_smallworld,S_general,Predicted_S,Predicted_S_bipartite,Corrected_Predicted_S
161,knn,3.7449,41.8885,41,2971,2,0.7685,0.7522,0.1909,1.4871802029182193,1.096722617620335,0.7754999999999999,1.096722617620335
162,knn,15.7933,14.9486,15,3000,2,0.2729,0.2739,0.5356,1.0846168227638224,1.096722617620335,0.7754999999999999,1.096722617620335
163,knn,21.1227,12.6449,12,3000,2,0.2309,0.2191,0.6332,1.0610344556407245,1.096722617620335,0.7754999999999999,1.096722617620335
164,knn,26.4947,11.2501,11,3000,2,0.2054,0.2008,0.7117,1.0572440718033447,1.096722617620335,0.7754999999999999,1.096722617620335
165,knn,31.9233,10.1665,10,3000,2,0.1856,0.1826,0.7875,1.0487325008001205,1.096722617620335,0.7754999999999999,1.096722617620335
166,knn,37.2473,9.35,9,3000,2,0.1707,0.1643,0.8563,1.0418336534287356,1.096722617620335,0.7754999999999999,1.096722617620335
167,knn,5.978,27.4298,27,3000,2,0.5008,0.493,0.2919,1.224446936623922,1.096722617620335,0.7754999999999999,1.096722617620335
168,knn,8.1727,21.8421,22,3000,2,0.3988,0.4017,0.3666,1.1400306888540628,1.096722617620335,0.7754999999999999,1.096722617620335
169,knn,9.2487,20.4432,20,3000,2,0.3732,0.3651,0.3916,1.1350855534519397,1.096722617620335,0.7754999999999999,1.096722617620335
170,knn,10.3687,18.7241,18,3000,2,0.3419,0.3286,0.4276,1.1007849395321876,1.096722617620335,0.7754999999999999,1.096722617620335
171,knn,16.588,4.3371,4,500,3,0.5464,0.504,1.4329,1.393608467824897,1.4000714267493641,1.111237427826279,1.4000714267493641
172,knn,22.2,3.8445,4,500,3,0.4844,0.504,1.6165,1.361342872693823,1.4000714267493641,1.111237427826279,1.4000714267493641
173,knn,28.308,3.4935,4,500,3,0.4402,0.504,1.7789,1.3414478954400786,1.4000714267493641,1.111237427826279,1.4000714267493641
174,knn,4.888,8.5684,9,500,3,1.0795,1.1339,0.7253,1.8321180926212677,1.4000714267493641,1.111237427826279,1.4000714267493641
175,knn,8.508,6.0568,6,500,3,0.7631,0.756,1.0261,1.5578622684969454,1.4000714267493641,1.111237427826279,1.4000714267493641
176,knn,10.756,5.3402,5,500,3,0.6728,0.63,1.1637,1.4851983298365452,1.4000714267493641,1.111237427826279,1.4000714267493641
177,knn,6.056,7.4386,8,500,3,0.9372,1.0079,0.8355,1.708296141003949,1.4000714267493641,1.111237427826279,1.4000714267493641
178,knn,8.44,6.0914,6,500,3,0.7675,0.756,1.0202,1.5625764202956773,1.4000714267493641,1.111237427826279,1.4000714267493641
179,knn,9.576,5.7393,6,500,3,0.7231,0.756,1.0828,1.5355488512575979,1.4000714267493641,1.111237427826279,1.4000714267493641
180,knn,10.62,5.4398,5,500,3,0.6854,0.63,1.1424,1.5064952621078032,1.4000714267493641,1.111237427826279,1.4000714267493641
181,knn,16.472,5.555,6,1000,3,0.5555,0.6,1.2435,1.4134035392495634,1.4000714267493641,1.111237427826279,1.4000714267493641
182,knn,21.958,4.9126,5,1000,3,0.4913,0.5,1.4061,1.3756533100125365,1.4000714267493641,1.111237427826279,1.4000714267493641
